J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-3.3939664, 55.1693051, 43.2636367, -19.6562912, -70.3886903, 9.3911238, 0.0000000, 72.3758081, 19.4645942, 15.0000000, 0.4325465, 1406.5686503, -51.6748476, 1108.2526913, 6.0010463, -26.9680648, -13.2428925, 45.0000000, -18.0913174, -22.7448217, 17.9951181, -1.5184081, -9.5854811, 79.9212272, 62.2099134, -48.4394203
1.2782099, 52.1631822, 41.6052669, 7.1361923, -71.1507612, -11.7246633, 0.0000000, 72.1018984, 26.7924835, 16.0000000, 0.5953885, 1403.7884129, 19.5627300, 1119.0305191, 7.8472731, -5.0490104, -2.7853574, 45.0000000, -1.2799557, -35.4655596, 3.1008774, 36.8147076, 17.5642201, -0.0000000, 28.2359520, -21.3654403
4.9428782, 59.8720109, 45.8715384, 29.3801635, -69.1494521, -26.0934598, 0.0000000, 64.5498594, 22.2439713, 17.0000000, 0.4943105, 1406.3487344, 75.6083879, 1087.1085309, 7.4136973, 15.5951150, 8.6307528, 45.0000000, 4.0486885, -29.0683635, -0.8771326, 41.7634796, 23.0950200, -0.0000000, 10.7799540, 12.9416560
6.0883195, 71.0489888, 50.5517139, 43.0451889, -56.5816126, -31.5548668, 0.0000000, 69.5772711, 13.6650253, 18.0000000, 0.3036672, 1407.9648972, 92.8820020, 1019.7289574, 3.7720282, 36.8066648, 15.4121849, 45.0000000, 41.3868810, -17.9848413, -11.9923019, 69.8512968, 22.3317878, 0.0000000, 122.9575960, 36.4989079
4.0033470, 80.2991723, 53.3530325, 38.4423624, -35.9866885, -29.3658415, 0.0000000, 76.2820391, 20.5949241, 19.0000000, 0.4576650, 1406.0136150, 61.7787157, 950.1033330, -4.5556741, 20.2116916, 6.1208935, -10.0571962, 45.0000000, 4.7830298, -18.1960664, -36.2600895, -20.3015129, -120.3002165, 7.8946809, 49.7478987
-0.9944564, 83.1570160, 54.1524112, -12.7313166, -26.0929017, 2.9537484, 0.0000000, 79.9729114, 51.1736790, 20.0000000, 1.1371929, 1403.7546916, -14.6724078, 926.7411942, -4.3948599, 2.5130687, 0.7029403, -45.0000000, 8.7001836, 28.4205001, 0.1414133, -15.5634313, -4.7643222, -30.7272450, -31.9205453, 20.7858060
-4.6638691, 79.4023818, 53.1403433, -41.3817728, -39.5556580, 18.9708953, 0.0000000, 64.9507652, 28.6504562, 21.0000000, 0.6366768, 1405.6311381, -72.4327568, 956.3861421, -5.7633837, -5.8972372, -1.5896101, -45.0000000, -21.1453537, 25.1574217, -2.1494795, -13.2096942, -3.6008072, -0.0000000, -46.8770609, -5.1251725
-6.1555266, 70.2619760, 50.3930086, -42.3486928, -58.2121788, 20.1752998, 0.0000000, 72.4611023, 18.6565208, 22.0000000, 0.4145894, 1406.2873505, -94.0755025, 1025.5365021, -3.5979158, -22.0468901, -6.6266406, -2.3322355, -45.0000000, 2.9050541, 5.2231633, -38.9533711, -12.1494449, 102.9157270, -57.5380101, -53.6732734
-4.5782441, 58.5548085, 45.0658965, -27.2303217, -69.1871395, 14.0213106, 0.0000000, 72.0195770, 15.1183710, 23.0000000, 0.3359638, 1408.0568426, -69.8435204, 1093.3339904, 4.6947989, -34.8465144, -15.8562086, 45.0000000, -32.6670928, -18.3174175, 24.6833578, -38.0982246, -27.4719120, 140.8849268, 36.7090358, -63.1689233
-0.2085569, 51.7172936, 41.3339534, -1.2469629, -70.9072919, -4.8831261, 0.0000000, 72.3132277, 25.9833588, 24.0000000, 0.5774080, 1403.7606320, -3.0532268, 1120.7165061, 7.5677639, -11.8417397, -6.4632692, 45.0000000, -2.9790936, -32.7401726, 4.9756240, 39.8414567, 16.2674224, 0.0000000, 51.4159840, -24.9784482
4.0192433, 56.7323614, 44.2221129, 23.2310125, -70.7117129, -22.9320533, 0.0000000, 67.3076935, 24.4779754, 25.0000000, 0.5439550, 1405.5428964, 61.4378404, 1101.5318406, 7.7723345, 9.2196371, 5.3095559, 45.0000000, 0.3595499, -33.1809190, 0.3760800, 38.7189683, 21.6430125, -0.0000000, 6.1377200, -0.8102626
5.9970157, 67.1369994, 49.0900978, 39.3645643, -62.0726307, -30.1745606, 0.0000000, 63.4481723, 16.1335518, 26.0000000, 0.3585234, 1408.1960435, 91.5859714, 1045.7669630, 5.5164391, 29.0208080, 13.5778732, 45.0000000, 24.0962873, -20.2009350, -6.2921849, 55.2297909, 23.0621430, 0.0000000, 66.2069454, 36.2040108
4.9578021, 78.3020755, 52.7878826, 43.5574791, -41.7908477, -31.8952585, 0.0000000, 81.3427243, 20.2817830, 27.0000000, 0.4507063, 1406.4849266, 75.9139625, 965.9665932, -2.3057447, 24.7723992, 8.2044224, 9.3029872, 45.0000000, -3.8177811, -17.3553910, -9.4261139, -11.9222894, -79.2023845, 46.3799002, 36.3499563
0.6206327, 83.1568384, 54.1752845, 6.2601157, -25.7772413, -9.5000527, 0.0000000, 76.2497984, 37.2973634, 28.0000000, 0.8288303, 1403.8400253, 10.4648667, 926.9351686, -5.2328798, 5.8573666, 1.6739276, -45.0000000, 19.3207299, 27.0202548, -3.5316459, -22.8213576, -7.8791700, -65.5176184, -30.9825427, 37.2066947
-3.8407035, 81.0408568, 53.5240602, -37.6166168, -34.6640628, 17.3253331, 0.0000000, 71.8665406, 43.8767326, 29.0000000, 0.9750385, 1405.2938429, -59.5482459, 943.0860237, -4.5755488, -2.1701519, -0.6678960, -45.0000000, -9.1143287, 27.5121298, 0.6741591, -8.2330271, -2.4017755, 0.0000000, -29.1630111, 0.5044673
-6.4869569, 71.6247775, 51.0478075, -44.7531364, -57.3996613, 20.6721156, 0.0000000, 83.6818153, 22.7355985, 30.0000000, 0.6552355, 1401.8345663, -99.7004862, 1016.4241258, -4.0386293, -14.3705263, -3.7791796, -10.8915333, -34.6983607, 5.1077551, 0.8194298, -18.6198305, -4.7483439, 52.0552770, -39.0455509, -34.1928572
